age,gender,financial_risk_assessment,yearly_income,product_category,debt_comfort_level,online_purchase_frequency
30,1,4,98945,2,2,2
21,2,5,34410,1,3,10
26,3,1,32303,1,9,7
38,2,7,47477,4,5,5
32,1,8,82743,3,6,1
39,3,9,12251,2,3,8
39,3,8,58666,3,4,8
38,1,8,12196,4,7,5
34,1,3,20533,2,8,10
28,2,3,11636,3,8,9
48,2,6,72119,4,2,10
23,1,2,79448,1,10,7
20,3,6,77633,3,3,1
24,3,7,39823,2,6,3
48,3,5,83096,1,6,5
25,3,2,29699,1,7,2
28,3,8,69829,3,4,9
29,1,10,77864,4,3,7
32,3,10,11668,4,8,9
44,2,9,49334,1,2,7
24,3,8,49925,2,6,10
28,3,6,87241,3,3,8
29,2,7,44914,3,6,5
43,3,6,93908,3,7,4
34,2,7,54248,3,4,5
44,2,10,15541,1,8,1
46,3,9,86982,3,5,6
49,1,2,36939,4,7,3
30,1,8,51246,2,5,9
22,2,10,53071,3,9,10
48,3,8,80056,1,2,2
42,2,9,83104,4,1,1
49,2,9,83802,2,6,9
27,3,7,45319,1,2,9
27,3,9,26285,3,6,10
21,1,3,65142,3,7,2
27,3,4,11301,2,1,9
28,3,1,29787,2,7,4
42,3,8,17018,1,3,2
49,2,8,75124,1,9,7
20,3,8,34797,2,5,4
42,3,1,93474,4,6,6
42,2,7,98833,2,1,9
46,1,1,75274,4,10,4
35,1,1,54217,3,9,9
31,1,2,46345,1,5,7
34,2,7,32622,2,6,5
31,1,5,26145,4,9,6
46,2,5,44642,3,2,6
36,1,10,35975,3,6,6
44,1,7,91639,3,10,4
44,1,3,94137,2,4,7
28,2,6,48486,4,10,10
33,1,7,15933,4,2,8
35,2,8,12611,1,4,8
45,2,7,20973,1,6,8
38,1,1,63165,2,1,8
31,3,3,97954,4,10,8
44,2,5,42891,2,5,7
33,2,1,19186,4,5,5
34,1,3,75403,4,8,3
44,3,1,90612,1,3,3
32,2,4,73552,3,10,9
49,1,10,30474,4,3,8
40,3,2,48969,1,2,3
50,1,10,29041,4,5,3
27,2,2,20465,3,8,4
41,1,9,46726,4,10,8
39,1,10,72301,2,1,9
47,3,2,17934,3,8,9
39,2,7,21691,2,9,7
31,3,6,72617,4,8,3
43,1,1,94669,3,9,3
48,3,6,49021,4,3,8
44,2,4,24889,3,5,1
26,2,5,65316,4,9,6
22,1,4,86946,4,4,7
31,1,6,79501,3,4,9
21,3,8,24087,1,10,5
45,2,4,37553,3,5,6
22,1,8,87010,2,5,4
20,2,4,16257,2,1,5
25,2,5,63634,1,6,3
32,1,10,68384,3,1,2
34,1,3,18193,4,3,10
48,2,7,21409,2,1,10
27,1,10,83233,2,9,7
29,2,2,69978,2,2,7
35,3,5,15819,2,9,8
35,1,8,97553,3,4,8
47,2,8,27021,4,1,5
34,2,2,97312,3,5,6
46,1,5,98161,1,3,6
25,2,7,54082,1,4,10
29,1,2,85519,3,5,10
29,1,8,42976,2,5,10
32,2,10,93636,3,5,6
47,1,2,99568,3,1,1
22,3,8,73301,1,7,6
38,2,4,64533,1,8,6
32,3,7,26375,3,3,8
40,2,6,62029,3,9,2
34,2,7,43681,3,6,5
36,2,6,86772,2,10,8
20,1,10,60510,1,4,8
46,2,9,12367,3,2,6
48,3,5,47045,4,6,7
30,1,8,39713,4,8,9
33,2,4,96926,4,10,5
44,3,6,47803,3,10,4
32,1,1,52839,2,7,3
31,2,6,54176,1,6,10
28,1,8,52123,1,9,8
46,1,1,92476,1,4,2
32,2,6,29685,2,7,7
46,1,9,63332,1,10,10
27,1,6,50484,3,8,3
43,3,8,45167,4,9,1
26,2,2,30554,2,5,2
40,3,1,25381,3,6,9
27,1,8,92047,1,9,7
26,2,5,11969,1,9,7
25,1,5,50207,3,5,5
43,2,9,70595,1,2,7
24,3,3,18378,2,2,6
36,2,8,88794,3,1,7
25,2,9,75913,3,4,6
41,3,9,67505,4,6,10
38,3,1,32549,2,6,3
46,2,10,44915,1,5,10
23,2,10,92679,3,10,3
34,2,8,76025,2,10,7
34,3,5,80755,1,6,9
42,3,8,84802,4,9,10
50,3,8,57120,1,2,1
49,2,1,37133,3,9,5
40,1,1,98326,4,3,7
46,3,5,20185,3,5,3
26,3,3,55630,1,5,1
35,3,3,16911,1,10,6
28,3,10,16656,4,7,7
48,3,1,19054,1,6,9
44,1,9,53313,1,1,5
22,2,6,30496,4,1,9
46,1,8,34964,1,1,7
47,3,10,64222,2,9,8
36,1,8,75205,3,9,7
30,1,1,99821,1,8,2
29,3,10,37764,3,6,7
34,1,7,82999,3,7,9
36,2,7,34699,4,6,2
33,2,10,29229,4,1,9
27,3,7,48246,3,9,2
27,2,10,39124,2,7,5
30,3,1,17824,4,1,6
38,2,7,58148,2,10,7
40,2,1,67218,2,3,7
25,1,9,34158,4,1,7
37,1,5,81172,4,8,3
35,2,6,52960,1,8,4
37,2,7,85777,4,6,1
50,2,5,84108,3,5,2
47,2,10,89128,2,8,1
36,1,8,42663,1,7,8
34,2,5,99635,3,1,1
47,3,2,16210,3,10,3
45,1,10,76598,2,6,4
50,2,5,51733,3,10,10
22,3,5,90598,2,8,10
20,1,6,48533,1,6,5
38,1,9,43104,1,9,8
32,1,5,89803,4,9,8
27,3,6,32604,3,7,2
22,1,7,86318,1,9,7
30,3,5,32839,3,5,3
39,3,5,95685,4,10,7
34,2,9,99625,4,7,8
49,1,7,32262,2,7,9
42,1,2,74041,1,1,2
32,1,3,64361,2,9,4
26,2,6,91106,4,10,5
27,3,9,77553,4,7,3
26,1,10,29649,1,8,7
47,3,1,49712,4,9,10
31,2,4,44986,1,3,4
22,2,7,70739,2,4,5
35,1,8,36681,4,7,1
39,1,4,66069,2,2,4
48,2,8,60837,4,3,5
47,3,1,72211,1,8,5
50,2,10,29204,4,7,6
22,1,2,80531,4,5,10
41,2,5,30199,2,10,7
35,1,4,60641,1,9,8
35,1,8,98100,3,9,5
29,3,3,28425,3,2,8
36,3,8,46072,1,2,1
43,3,7,58610,1,7,6
20,1,3,56162,1,2,6
29,3,10,40595,1,4,9
34,1,10,12375,3,9,10
27,2,5,46359,2,2,4
26,2,2,41083,3,1,2
31,2,8,87307,3,3,6
30,2,9,25756,2,1,10
45,3,10,36242,4,10,3
46,2,6,67623,4,7,3
41,2,7,76267,1,2,5
47,2,6,77261,2,5,4
25,1,4,36873,1,2,8
36,1,2,98041,1,1,5
47,3,10,32664,3,8,1
29,1,9,83060,3,4,3
41,1,4,79353,4,7,7
31,2,6,36189,4,3,7
25,3,10,98906,2,9,7
47,3,6,26189,4,10,2
20,2,3,20280,1,8,9
50,3,5,92334,1,3,4
39,3,5,68592,3,4,8
39,3,7,39894,2,3,5
29,2,2,48121,4,8,2
21,2,6,27531,3,6,10
38,2,6,97982,4,8,6
41,3,9,44328,1,3,8
20,3,8,79478,1,6,4
40,3,2,71705,1,10,5
29,1,4,42029,2,10,7
24,2,8,24524,2,6,3
39,3,10,64756,4,9,3
32,1,3,37638,2,5,5
37,1,10,40424,1,4,1
27,2,2,51376,2,6,5
39,1,4,52143,1,10,8
34,1,3,99361,3,3,4
43,2,7,55452,1,3,10
41,3,7,94025,4,7,9
45,1,9,59964,3,3,2
45,1,3,52509,1,1,5
41,2,7,79669,2,10,1
31,2,7,17014,1,7,6
24,2,9,61913,4,5,5
28,3,7,95854,2,7,2
50,3,7,30656,2,6,4
29,3,8,33763,3,3,8
29,3,3,19712,3,3,7
47,3,4,64737,1,6,1
48,1,10,88065,1,9,4
21,1,5,12292,3,6,1
32,2,8,16794,1,1,1
48,2,6,97026,3,7,3
35,1,2,84015,3,6,1
20,1,9,42050,4,7,10
35,3,10,39546,1,2,9
26,1,10,51643,4,9,4
49,1,6,30390,3,8,1
22,3,5,75026,2,7,3
22,3,3,88447,2,4,2
41,1,8,70762,2,8,10
34,1,3,87171,4,9,10
25,2,6,54632,2,6,9
36,2,2,14270,1,3,3
23,3,3,67456,2,2,4
27,1,10,69312,1,10,9
26,3,9,81000,4,3,10
28,3,3,44560,1,8,3
23,2,5,68079,3,3,4
31,3,3,50165,2,10,1
35,2,5,65981,3,1,7
25,1,2,92286,1,6,1
38,2,9,15797,1,8,10
37,3,3,94645,1,8,5
47,1,6,87774,3,7,6
37,3,4,27093,2,8,6
21,3,3,25406,3,6,2
44,2,2,99599,1,6,9
49,2,9,25405,1,3,5
48,3,1,71753,4,1,2
42,1,1,69748,4,3,3
33,1,6,22835,1,10,10
30,3,5,64948,3,6,2
48,1,2,61032,3,1,10
46,1,4,41935,4,6,2
22,3,9,88305,3,6,9
33,3,10,49050,3,1,4
21,1,6,15788,1,1,9
40,3,6,49415,1,8,9
37,1,8,62079,1,3,1
45,2,1,37130,1,1,5
25,3,1,78368,1,9,9
34,3,7,44308,1,7,8
38,3,4,63927,2,9,3
30,3,10,78364,2,8,5
48,3,7,12163,4,2,3
26,3,3,44380,3,1,9
37,3,10,33528,3,10,2
49,1,2,78153,3,7,4
23,1,9,57424,2,7,4
34,3,3,62638,3,6,6
29,1,2,94759,1,7,1
36,1,9,79886,4,1,4
42,3,8,61346,2,9,6
24,3,8,68044,1,3,9
39,2,2,60632,2,7,10
48,1,7,56148,1,4,10
42,2,1,37414,3,10,9
30,1,1,77181,3,10,2
43,1,1,59252,1,1,10
35,2,10,99036,3,2,4
49,1,2,33271,1,8,8
29,3,9,37406,4,7,8
33,3,8,86901,1,6,8
35,2,6,83440,3,9,8
33,3,9,41468,1,10,10
33,2,10,57432,3,1,8
29,1,5,95744,4,2,8
49,2,1,74194,3,10,4
44,3,8,89987,2,9,10
21,1,7,15446,2,5,3
30,1,1,92854,2,6,9
23,1,1,15968,2,2,3
29,2,5,62835,1,10,9
26,3,4,46982,2,6,1
28,2,7,65431,1,9,3
31,3,10,37988,4,5,10
34,3,8,16896,1,1,1
48,3,6,37412,4,10,4
46,3,9,51383,4,1,4
46,2,6,76402,3,4,6
36,1,7,59668,1,7,7
43,1,8,42720,1,2,10
23,2,8,14554,3,9,10
44,2,8,24944,4,2,7
21,3,9,68838,2,6,5
27,2,4,29511,2,9,7
44,2,9,20910,1,8,6
45,2,3,25400,1,4,7
49,3,3,82074,2,10,3
38,1,6,68175,3,7,8
40,2,9,54009,2,8,10
25,3,7,96057,4,6,4
26,2,9,97965,2,1,2
48,2,9,43738,3,2,3
38,2,9,76897,3,4,6
25,1,5,89922,2,3,1
42,3,5,31007,3,6,1
43,1,2,74437,1,4,7
37,3,1,12332,2,10,8
36,3,3,17349,4,4,8
33,1,4,79543,2,6,2
34,1,3,31033,1,9,4
45,2,10,97033,4,7,8
23,3,5,29930,1,5,6
36,3,8,56245,2,5,1
25,1,8,17843,2,9,4
46,2,9,71618,3,1,5
45,1,6,30979,2,7,6
26,2,1,52698,3,6,1
35,1,8,81034,2,9,5
39,1,9,14409,4,4,3
20,1,9,99714,4,2,6
25,2,3,84739,3,2,7
30,2,9,84670,1,3,9
28,1,6,94137,2,9,7
21,1,4,34597,4,8,9
37,1,3,65121,2,2,6
41,1,8,90913,1,1,4
39,3,3,50756,1,10,1
23,3,2,67822,2,8,5
23,2,10,24843,1,6,9
24,3,4,34469,3,4,1
33,3,2,74561,3,3,3
45,2,6,77811,3,10,5
34,2,9,60053,1,1,5
26,2,4,64158,3,9,2
21,1,4,96107,2,2,5
39,1,4,95980,1,8,8
50,2,7,65477,1,10,10
20,3,6,92982,3,2,3
28,3,5,93628,3,8,4
40,1,5,25312,3,3,1
34,2,5,31576,3,4,7
35,2,7,51890,3,9,1
35,1,7,95062,2,6,7
37,3,8,62058,2,2,6
34,2,7,51883,3,2,9
48,2,1,78713,3,6,10
46,1,10,48489,4,10,5
34,2,6,58198,2,1,1
36,2,1,51547,2,9,2
43,2,7,95463,1,5,1
34,2,8,60218,1,7,3
23,1,4,14436,3,7,5
26,3,1,57911,4,2,9
31,1,8,55487,4,5,6
20,1,2,81889,3,9,9
40,2,8,29833,4,5,8
28,3,7,90366,4,7,8
29,2,7,50388,3,1,9
24,2,7,83783,1,4,9
37,1,7,29135,2,6,4
26,3,8,21025,1,3,1
32,2,7,45309,1,8,2
29,2,7,92145,1,9,2
40,2,9,83354,4,4,6
50,1,4,81918,3,10,10
26,3,7,87716,1,9,6
35,3,8,72160,1,6,9
39,3,4,37467,4,6,4
28,1,2,93841,4,5,1
47,3,2,67078,1,1,3
40,2,8,17243,1,3,4
22,3,10,91956,1,3,3
20,3,6,34316,4,8,3
27,3,3,23149,2,10,1
36,2,6,39702,4,2,2
40,1,7,63740,1,3,2
38,1,2,80791,4,2,10
25,3,6,64547,3,4,10
21,1,9,40582,2,8,8
26,1,5,97119,3,3,8
49,3,5,70151,4,9,3
20,1,2,14055,1,4,9
50,3,1,45367,4,4,9
47,2,7,64767,2,6,1
38,2,4,56847,4,2,5
25,2,2,41504,3,9,1
27,2,3,33092,4,10,3
43,2,8,76505,4,4,4
36,3,6,90955,2,4,3
48,2,6,92699,1,4,6
32,2,1,25206,1,6,5
42,2,9,28877,2,3,9
29,2,7,21786,4,7,8
44,2,1,21149,1,1,10
24,1,5,57964,4,8,9
42,1,5,77653,1,3,5
24,2,9,10801,1,2,9
28,1,5,69979,4,6,8
46,3,8,93556,1,2,4
31,2,3,39919,3,1,1
35,1,8,55462,3,6,7
45,1,2,91434,3,6,3
22,3,1,15349,2,8,5
39,2,4,55855,2,4,6
22,1,9,53523,1,5,9
41,2,10,22068,1,6,8
46,1,5,60623,3,9,4
48,3,9,45010,1,6,8
37,1,10,44267,4,9,6
37,3,8,12896,3,7,8
21,2,10,22952,3,5,4
44,2,1,56873,1,1,4
45,2,4,91740,3,1,4
23,3,10,20295,2,8,4
49,3,10,34491,1,4,7
43,3,7,74649,4,4,5
22,2,8,91278,4,6,8
40,1,10,81377,1,2,10
50,3,8,70509,4,7,5
30,1,3,99998,2,10,4
49,2,6,11207,2,7,7
26,3,3,94876,1,7,5
34,1,7,93273,1,8,2
29,1,5,66345,4,3,6
44,1,2,33865,2,9,2
22,3,7,60791,1,5,4
21,1,2,14845,4,3,1
27,3,1,10786,3,5,1
23,1,2,40018,3,3,10
24,2,1,94783,2,2,8
35,2,3,97158,2,6,10
27,3,6,27394,2,5,9
20,2,3,81286,4,3,9
48,2,4,14176,1,6,3
35,1,1,83919,4,10,6
39,1,2,33143,4,2,4
36,3,9,33623,3,9,3
24,1,9,72798,4,8,6
45,2,4,64248,1,8,10
47,1,8,73365,1,4,1
31,1,9,80491,3,8,5
38,2,6,30293,1,10,4
50,3,5,61054,2,1,7
36,3,5,72661,3,10,5
36,3,8,86856,1,6,7
27,3,9,82835,1,1,5
46,3,4,39321,3,9,8
20,2,10,51126,2,3,5
44,1,5,17958,1,5,5
23,1,7,54151,3,7,10
23,1,1,21986,3,4,10
24,1,6,52711,2,9,3
38,1,7,91037,2,10,6
30,1,5,44484,2,6,2
41,3,8,64219,2,2,6
45,1,5,27698,3,3,6
25,3,4,29315,3,6,6
39,1,3,64086,2,3,8
21,3,8,53389,3,6,6
37,1,1,41038,3,6,8
30,2,8,11616,3,8,2
28,3,7,91674,2,7,10
31,1,6,13314,3,2,5
39,2,1,64706,2,9,9
31,3,1,12518,2,8,6
38,3,3,85050,3,7,6
31,2,1,38674,2,8,7
25,2,2,92890,1,1,6
29,3,5,78312,4,1,9
37,1,9,79576,1,6,1
43,3,3,53574,2,1,9
41,1,3,63336,4,4,9
50,3,3,55692,4,5,5
49,2,10,20947,4,1,9
44,2,6,85715,3,7,4
38,3,3,73239,3,8,3
31,1,8,63608,4,4,10
36,2,10,16066,1,8,3
36,1,2,28276,3,8,5
30,3,1,62418,1,9,7
26,1,2,23359,1,6,5
37,1,10,25976,2,8,5
40,1,7,55194,2,9,10
37,1,4,45352,2,1,9
38,2,2,57831,3,9,9
23,3,7,73115,1,10,8
44,3,6,47521,1,9,2
34,2,4,24985,1,10,3
31,3,1,72961,4,8,6
39,3,1,44139,3,2,6
37,2,2,48215,4,7,6
48,3,4,40029,3,9,3
41,3,7,38355,2,4,9
49,3,1,46909,4,10,6
31,1,2,74645,1,3,4
36,2,8,95366,4,1,5
46,3,3,48850,2,2,3
31,2,6,95514,1,7,7
26,1,7,74465,1,3,9
32,2,5,77415,3,2,2
48,2,6,12012,2,6,2
50,3,5,98159,3,10,5
35,3,7,86206,1,3,5
48,1,3,41845,2,6,8
31,2,5,23038,2,4,9
33,1,10,18482,4,5,6
36,2,3,87309,4,6,9
40,1,4,54833,1,1,5
36,2,3,45228,4,5,1
47,3,7,88057,3,8,7
32,2,10,76578,1,7,5
50,1,10,20180,2,3,8
41,1,8,91802,2,7,5
25,1,7,71619,1,5,5
36,1,6,13353,1,9,9
43,2,10,50969,2,1,2
27,3,10,48507,2,3,4
41,1,4,65293,3,5,1
47,2,10,97454,4,1,5
38,2,3,14502,1,2,9
44,3,10,67467,3,7,5
37,1,7,67701,2,10,4
25,3,6,98181,1,7,9
34,2,4,84973,1,9,6
47,1,5,40882,4,3,2
49,2,9,25449,1,10,3
43,3,9,58106,1,3,4
27,1,6,88819,4,1,6
44,3,5,87078,1,10,7
35,2,5,57625,4,10,6
46,2,4,41209,1,9,3
22,2,1,84176,1,2,10
44,2,8,36094,3,4,7
23,2,9,66361,2,8,3
37,2,10,19176,2,8,9
24,3,1,51739,1,2,10
33,3,6,71878,1,5,8
26,3,2,16358,3,4,2
35,2,7,66148,1,3,2
33,3,7,96002,2,4,8
33,3,9,46196,2,7,10
29,1,4,26859,3,4,9
37,3,8,52915,4,3,4
28,3,3,95264,4,10,8
44,2,9,55112,3,9,10
34,1,7,21941,1,8,8
22,3,6,56577,1,3,2
23,3,9,86772,1,7,1
34,2,8,85264,2,9,6
37,2,7,31501,4,9,10
36,1,3,35515,1,10,3
24,2,3,89036,3,10,2
35,3,2,38079,2,8,2
28,1,8,81774,1,3,5
22,1,10,56853,1,4,8
26,2,5,85138,3,2,1
45,2,9,99831,3,8,1
23,1,7,81797,2,6,10
21,3,9,63688,1,7,5
25,3,7,88526,2,9,8
33,2,5,27033,3,7,3
30,3,1,22629,3,9,9
42,2,6,19584,1,2,4
30,1,6,85302,1,8,1
33,3,1,75916,1,1,3
39,2,5,91887,1,10,3
48,2,5,50136,1,9,8
37,2,1,90056,3,1,5
30,3,1,38535,3,9,3
46,2,6,59718,1,2,2
33,1,4,53946,2,10,1
33,3,7,60634,1,4,6
36,3,4,45750,1,5,7
38,2,9,20934,4,8,6
48,3,5,54978,2,3,4
45,2,10,60156,3,9,7
27,1,9,35085,3,4,7
44,1,7,93669,1,4,7
25,1,6,39099,2,1,1
48,2,6,98061,4,1,8
38,2,1,93807,2,4,10
36,1,10,86117,1,2,4
32,2,4,80073,4,9,4
25,1,7,81788,2,7,10
30,1,5,56999,1,5,4
33,2,8,83847,4,10,2
43,2,8,87433,2,5,5
48,3,5,66565,1,7,6
41,3,8,83840,3,5,8
35,2,1,53600,4,8,9
33,3,1,62928,4,7,9
29,2,7,31786,1,4,4
35,1,8,83872,1,9,2
37,3,4,27293,2,1,5
46,3,7,36239,2,8,8
46,2,2,50792,2,7,4
25,2,8,66600,4,5,7
30,2,5,47589,1,10,2
49,3,2,87831,2,2,2
33,3,1,82870,4,1,4
29,3,4,78367,2,10,9
25,3,8,66484,2,2,6
29,2,10,80604,1,9,2
37,1,4,24593,4,9,8
44,2,3,68278,3,4,2
24,1,6,84097,1,8,6
30,3,10,33825,1,9,8
36,2,6,44993,1,10,8
45,1,3,60287,4,3,4
38,3,9,98391,3,6,8
20,2,4,90468,3,3,1
35,3,5,50504,1,3,1
50,3,7,68339,2,2,3
30,1,7,41399,1,10,1
30,2,1,92686,3,6,5
34,2,9,25359,4,6,3
29,2,1,30132,4,9,3
47,3,8,62630,2,2,9
33,3,3,61259,4,1,4
24,1,3,10602,4,10,2
38,1,6,30449,4,9,2
39,3,6,65129,3,2,5
20,3,10,82063,2,5,10
31,3,7,19658,4,9,3
43,3,1,61615,2,3,10
44,1,5,17098,1,3,4
29,1,7,54898,4,1,2
27,2,5,24469,2,2,5
45,2,10,29912,1,6,9
23,3,9,80155,1,6,5
29,1,6,43404,1,8,6
31,2,6,35430,1,1,10
49,2,7,88596,3,9,9
36,2,4,15639,2,4,9
20,3,10,35557,1,6,8
37,2,9,33678,3,6,3
25,2,3,39689,3,5,9
27,1,3,98105,1,3,4
26,2,7,39260,2,9,6
24,3,5,81284,1,4,2
37,1,5,77733,4,4,7
47,3,6,92824,2,10,8
21,3,7,37977,2,1,3
28,1,9,90123,4,5,8
20,1,7,18137,4,1,2
28,1,4,59181,1,10,4
21,2,1,60206,1,9,8
34,2,3,55011,4,4,9
40,3,1,22423,4,3,9
30,2,7,56051,2,6,3
40,1,5,45671,1,8,7
33,2,6,56614,1,3,5
44,2,1,33219,2,7,8
23,3,9,77677,2,2,3
47,3,8,45110,2,3,1
50,1,7,92980,1,1,9
45,1,3,74876,4,8,4
24,1,5,34058,3,2,7
24,1,6,16520,3,7,9
31,1,8,92908,1,8,1
31,2,6,94803,1,9,6
36,2,8,66948,4,4,6
29,2,9,66973,3,4,6
39,3,2,56331,1,10,2
41,3,2,47778,3,9,2
23,1,6,10132,1,9,10
23,3,7,60780,2,1,6
28,1,6,64574,1,7,2
24,1,3,47177,4,6,2
39,3,6,10460,4,9,8
47,3,7,50940,2,3,1
35,2,10,81155,1,3,4
41,2,4,92620,4,8,5
27,3,8,72230,1,6,4
22,2,10,79908,4,8,1
46,2,3,16735,2,3,6
41,1,1,48087,4,10,1
